booking_id,customer_name,no_of_ppl,no_of_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,date,total_price
HWA00030,Kenneth Torres,3,1,1,0,Deluxe Room,9/19/2023,180
HWA00031,Karen White,1,2,1,0,Single Room,11/13/2024,160
HWA00032,Paul Smith,1,3,1,0,Double Room,12/7/2024,390
HWA00033,Helen Walker,1,1,0,0,Single Room,1/9/2024,50
HWA00034,Joshua Taylor,1,2,1,0,Single Room,10/7/2024,160
HWA00035,Sharon Thomas,1,1,0,1,Single Room,4/27/2024,50
HWA00036,David Martinez,1,1,1,0,Single Room,6/19/2024,80
HWA00037,Shirley Torres,1,1,1,0,Single Room,10/17/2023,80
HWA00038,Karen Taylor,1,3,0,0,Single Room,11/19/2024,150
HWA00039,William Brown,3,1,1,0,Deluxe Room,7/30/2024,180
HWA00040,William Rodriguez,1,4,1,0,Single Room,11/1/2024,320
HWA00041,David Brown,1,2,1,0,Single Room,6/21/2024,160
HWA00042,Elizabeth Scott,1,1,1,0,Single Room,4/10/2024,80
HWA00043,Kevin Smith,1,1,0,0,Single Room,6/27/2024,50
HWA00044,Timothy Green,3,4,1,0,Deluxe Room,11/18/2023,720
HWA00045,Raymond Taylor,1,3,1,0,Single Room,12/29/2023,240
HWA00046,Kenneth King,1,2,1,0,Single Room,11/20/2023,160
HWA00047,Susan Scott,1,1,1,0,Single Room,4/6/2024,80
HWA00048,Ronald Hall,1,4,0,0,Single Room,11/1/2024,200
HWA00049,Kathleen Robinson,3,3,1,0,Deluxe Room,12/29/2024,540
HWA00050,Julie Hall,1,5,0,0,Single Room,5/30/2024,250
HWA00051,Emily Robinson,1,2,1,0,Single Room,4/22/2024,160
HWA00052,Cynthia Harris,1,2,1,0,Single Room,5/16/2024,160
HWA00053,Dennis Anderson,2,4,1,0,Deluxe Room,11/11/2023,720
HWA00054,Joan Martinez,1,1,0,0,Single Room,6/13/2024,50
HWA00055,Samuel Young,1,3,1,0,Single Room,5/19/2024,240
HWA00056,Jennifer Moore,1,1,0,0,Single Room,7/28/2024,50
HWA00057,Ronald Davis,1,2,1,0,Single Room,12/26/2024,160
HWA00058,Jessica Wilson,2,4,1,0,Deluxe Room,4/20/2024,720
HWA00059,Ronald King,3,3,1,0,Deluxe Room,4/6/2024,540
HWA00060,Scott Allen,2,1,1,1,Family Room,9/2/2024,230
HWA00061,Raymond Young,2,3,1,0,Deluxe Room,5/3/2024,540
HWA00062,Joseph Garcia,1,2,1,0,Single Room,6/24/2024,160
HWA00063,Jeffrey Miller,1,1,1,0,Single Room,12/18/2024,80
HWA00064,Jeffrey Lopez,3,3,1,0,Deluxe Room,10/5/2024,540
HWA00065,Gregory Adams,3,2,1,0,Deluxe Room,6/3/2024,360
HWA00066,Charles Davis,1,2,1,0,Deluxe Room,4/15/2024,360
HWA00067,Steven Perez,1,1,1,0,Single Room,4/6/2024,80
HWA00068,Julie Martinez,1,2,1,0,Single Room,4/25/2024,160
HWA00069,Stephanie Taylor,1,3,1,0,Single Room,8/25/2024,240
HWA00070,Shirley Thomas,1,1,0,0,Single Room,11/14/2024,50
HWA00071,Matthew Johnson,1,1,1,1,Single Room,8/29/2024,80
HWA00072,Stephanie White,1,2,1,0,Single Room,6/3/2024,160
HWA00073,Ryan Allen,3,3,1,0,Deluxe Room,10/25/2023,540
HWA00074,Linda Walker,3,4,1,0,Deluxe Room,3/9/2024,720
HWA00075,Sharon Johnson,2,1,1,0,Deluxe Room,12/31/2024,180
HWA00076,Jennifer Miller,1,2,1,0,Single Room,6/27/2024,160
HWA00077,Kathleen Martinez,2,5,1,0,Deluxe Room,6/28/2024,900
HWA00078,Betty Thompson,1,5,1,0,Single Room,3/29/2024,400
HWA00079,Elizabeth Green,3,2,1,0,Family Room,4/1/2024,460
HWA00080,Charles Brown,1,5,1,0,Deluxe Room,10/11/2024,900
HWA00081,Melissa Young,1,1,0,0,Single Room,12/25/2024,50
HWA00082,Elizabeth Martin,1,4,1,0,Deluxe Room,3/14/2024,720
HWA00083,Joseph Anderson,2,2,1,1,Deluxe Room,3/4/2024,360
HWA00084,James Davis,1,1,1,0,Single Room,10/17/2024,80
HWA00085,Samuel Green,1,3,0,0,Single Room,9/4/2024,150
HWA00086,Nancy Wilson,1,2,1,0,Single Room,6/15/2024,160
HWA00087,Emily Wright,1,1,0,0,Single Room,12/10/2024,50
HWA00088,Kimberly Perez,5,3,1,0,Family Room,8/9/2024,690
HWA00089,Scott King,1,3,0,0,Single Room,5/5/2024,150
HWA00090,Ryan Thompson,1,2,1,1,Single Room,3/18/2024,160
HWA00091,Timothy Taylor,3,1,1,0,Deluxe Room,4/9/2024,180
HWA00092,Scott Johnson,1,1,1,0,Deluxe Room,5/19/2024,180
HWA00093,Judith Robinson,1,5,1,0,Single Room,8/30/2024,400
HWA00094,Judith Taylor,1,2,1,1,Single Room,8/4/2024,160
HWA00095,Stephanie Wilson,1,2,1,0,Single Room,8/18/2024,160
HWA00096,Karen White,1,4,1,0,Single Room,4/13/2024,320
HWA00097,Nancy Davis,1,3,1,0,Single Room,11/17/2024,240
HWA00098,Michelle Perez,2,3,1,0,Family Room,12/22/2024,690
HWA00099,Judith Rodriguez,1,1,0,0,Single Room,10/23/2024,50
HWA00100,Thomas King,2,2,1,0,Deluxe Room,5/13/2024,360
HWA00101,Michelle Moore,1,4,1,0,Single Room,12/13/2024,320
HWA00102,Jeffrey Taylor,1,1,1,0,Single Room,10/31/2023,80
HWA00103,Daniel Lewis,1,3,1,0,Single Room,10/8/2023,240
HWA00104,Raymond Lopez,1,3,1,0,Single Room,2/16/2024,240
HWA00105,Cynthia Lopez,1,4,1,1,Single Room,11/2/2023,320
HWA00106,Jason Garcia,2,3,1,0,Deluxe Room,9/21/2023,540
HWA00107,Laura Jones,1,1,0,0,Single Room,6/30/2024,50
HWA00108,Laura Lopez,1,1,1,0,Single Room,9/5/2023,80
HWA00109,Donna Torres,1,2,1,0,Single Room,9/30/2024,160
HWA00110,Ruth Lee,1,1,0,0,Single Room,6/27/2024,50
HWA00111,Patricia Thomas,1,3,0,0,Single Room,6/16/2024,150
HWA00112,Emily Thomas,1,3,1,0,Single Room,6/30/2024,240
HWA00113,Judith Young,2,2,1,0,Double Room,6/26/2024,260
HWA00114,Michael Moore,2,2,1,1,Deluxe Room,8/13/2024,360
HWA00115,Jeffrey Thompson,1,5,1,0,Deluxe Room,4/22/2024,900
HWA00116,David Rodriguez,1,5,1,0,Single Room,11/12/2024,400
HWA00117,Ryan Robinson,1,1,1,0,Single Room,4/29/2024,80
HWA00118,Kathleen Perez,1,3,1,0,Single Room,11/14/2023,240
HWA00119,James Hall,1,3,1,0,Single Room,9/1/2024,240
HWA00120,Donald Jackson,1,2,1,0,Single Room,9/16/2024,160
HWA00121,Linda Lopez,1,3,1,0,Single Room,3/10/2024,240
HWA00122,Ruth White,1,3,1,0,Single Room,5/5/2024,240
HWA00123,Stephanie White,2,1,1,0,Deluxe Room,4/24/2024,180
HWA00124,William Lewis,1,2,1,0,Single Room,3/30/2024,160
HWA00125,Kevin Thomas,1,1,1,0,Single Room,11/3/2024,80
HWA00126,Henry White,4,2,1,0,Family Room,10/14/2024,460
HWA00127,Matthew Williams,1,3,1,0,Single Room,6/5/2024,240
HWA00128,Kenneth Smith,3,4,1,0,Deluxe Room,7/13/2024,720
HWA00129,John Wright,1,2,0,0,Single Room,10/20/2024,100
HWA00130,Emma Adams,1,2,1,0,Single Room,10/17/2024,160
HWA00131,Kenneth Johnson,1,4,0,0,Single Room,12/28/2024,200
HWA00132,Kimberly Robinson,2,4,1,0,Deluxe Room,10/19/2023,720
HWA00133,Anthony Rodriguez,1,4,0,0,Single Room,3/29/2024,200
HWA00134,Emily Johnson,2,1,1,0,Deluxe Room,10/9/2023,180
HWA00135,James Brown,1,1,1,0,Single Room,7/25/2024,80
HWA00136,Robert Davis,1,5,1,0,Single Room,6/28/2024,400
HWA00137,Thomas White,1,2,1,0,Single Room,5/22/2024,160
HWA00138,Sarah Green,1,4,1,0,Deluxe Room,4/15/2024,720
HWA00139,David Clark,1,2,1,0,Single Room,5/9/2024,160
HWA00140,William Lopez,1,2,1,0,Single Room,6/17/2024,160
HWA00141,Mark Wilson,1,2,1,0,Single Room,11/18/2024,160
HWA00142,William King,1,2,1,0,Single Room,10/30/2024,160
HWA00143,Edward Garcia,1,1,1,0,Single Room,3/28/2024,80
HWA00144,Thomas Walker,1,4,0,0,Single Room,5/4/2024,200
HWA00145,George Hall,1,2,0,0,Single Room,4/8/2024,100
HWA00146,Joshua Smith,1,1,1,0,Single Room,6/8/2024,80
HWA00147,Kenneth Harris,3,3,1,0,Deluxe Room,4/7/2024,540
HWA00148,Deborah Green,1,1,1,0,Single Room,5/2/2024,80
HWA00149,Paul Davis,1,3,1,0,Deluxe Room,9/29/2024,540
HWA00150,Amanda Martinez,1,3,0,0,Single Room,4/4/2024,150
HWA00151,Joshua Martinez,1,2,1,0,Single Room,7/17/2023,160
HWA00152,Frank Harris,1,1,1,0,Single Room,4/6/2024,80
HWA00153,Jason Taylor,1,3,1,0,Single Room,11/1/2024,240
HWA00154,Michelle Davis,2,3,1,0,Deluxe Room,5/24/2024,540
HWA00155,Nancy White,1,3,1,0,Single Room,2/17/2024,240
HWA00156,Sarah Walker,1,1,0,0,Single Room,4/14/2024,50
HWA00157,Michelle Jackson,1,1,0,0,Single Room,6/5/2024,50
HWA00158,Michelle Martin,1,2,1,0,Single Room,11/12/2024,160
HWA00159,David Garcia,3,2,1,0,Deluxe Room,4/17/2024,360
HWA00160,Daniel Miller,4,2,1,0,Presidential Room,10/7/2024,560
HWA00161,Samuel Robinson,1,1,0,0,Single Room,8/1/2024,50
HWA00162,Michelle Johnson,1,2,1,0,Single Room,7/12/2024,160
HWA00163,Christopher Harris,2,2,1,0,Deluxe Room,6/15/2024,360
HWA00164,Kenneth Lewis,1,2,1,0,Single Room,11/16/2024,160
HWA00165,Brian Wright,1,2,1,0,Single Room,9/19/2024,160
HWA00166,Margaret Young,1,1,0,0,Single Room,9/13/2023,50
HWA00167,Robert Martinez,1,2,1,0,Single Room,9/15/2024,160
HWA00168,Henry Davis,1,2,0,0,Single Room,12/16/2024,100
HWA00169,Elizabeth Harris,1,3,1,0,Single Room,6/30/2024,240
HWA00170,Kimberly Clark,1,4,1,0,Single Room,10/18/2024,320
HWA00171,Emma Garcia,1,1,1,0,Single Room,11/5/2024,80
HWA00172,Aaron Wilson,1,1,0,0,Single Room,3/22/2024,50
HWA00173,Ronald Torres,1,4,0,0,Single Room,8/17/2024,200
HWA00174,Sandra King,1,2,1,0,Single Room,5/20/2024,160
HWA00175,Daniel Martin,1,5,0,0,Single Room,10/24/2023,250
HWA00176,Sandra Garcia,1,2,1,0,Single Room,7/21/2024,160
HWA00177,Linda Scott,1,3,1,0,Single Room,9/9/2023,240
HWA00178,David Allen,1,3,1,0,Single Room,3/31/2024,240
HWA00179,Daniel Moore,1,1,0,0,Single Room,10/11/2024,50
HWA00180,Kimberly Anderson,2,1,1,0,Deluxe Room,4/2/2024,180
HWA00181,Jessica Rodriguez,1,5,1,0,Single Room,8/22/2024,400
HWA00182,Sandra Johnson,3,2,1,0,Deluxe Room,5/13/2024,360
HWA00183,Ryan Martinez,1,3,1,0,Single Room,8/8/2024,240
HWA00184,Timothy Allen,3,4,1,0,Deluxe Room,8/15/2024,720
HWA00185,Jennifer Martinez,1,3,1,0,Single Room,8/19/2024,240
HWA00186,Henry Lee,1,2,1,0,Deluxe Room,11/6/2024,360
HWA00187,Henry Clark,1,2,1,0,Single Room,10/10/2024,160
HWA00188,Joshua Martinez,1,1,1,0,Single Room,10/6/2024,80
HWA00189,Nancy Perez,1,4,1,0,Single Room,4/6/2024,320
HWA00190,Deborah Johnson,1,2,1,0,Single Room,3/25/2024,160
HWA00191,Scott Young,1,11,1,0,Deluxe Room,8/3/2024,1980
HWA00192,Raymond Jones,1,2,1,0,Single Room,5/30/2024,160
HWA00193,Jeffrey Allen,1,1,1,0,Single Room,9/11/2023,80
HWA00194,Betty Miller,1,1,1,0,Single Room,3/20/2024,80
HWA00195,Steven Smith,1,4,1,0,Single Room,3/23/2024,320
HWA00196,Mary Anderson,1,2,1,0,Single Room,9/26/2024,160
HWA00197,Laura Johnson,1,4,0,0,Single Room,8/24/2024,200
HWA00198,Robert Adams,1,2,1,0,Single Room,7/16/2023,160
HWA00199,Samuel Hall,1,2,0,0,Single Room,12/16/2024,100
HWA00200,Ryan White,1,2,1,0,Single Room,5/13/2024,160
HWA00201,Emma Harris,1,1,1,0,Single Room,11/19/2024,80
HWA00202,Kenneth Miller,1,3,1,0,Single Room,9/8/2024,240
HWA00203,Rebecca Hill,1,3,1,0,Single Room,5/2/2024,240
HWA00204,Judith King,1,3,1,0,Single Room,8/21/2024,240
HWA00205,Thomas Perez,1,4,1,0,Single Room,12/3/2024,320
HWA00206,Anthony Allen,1,3,1,0,Single Room,9/22/2023,240
HWA00207,Emma White,1,1,1,0,Single Room,7/18/2024,80
HWA00208,Dorothy Flores,1,1,1,0,Single Room,9/22/2023,80
HWA00209,Jason Rodriguez,1,1,1,0,Single Room,8/13/2024,80
HWA00210,Kimberly Anderson,1,2,1,0,Single Room,8/13/2024,160
HWA00211,Ruth Lee,1,1,0,0,Single Room,12/5/2024,50
HWA00212,Steven Walker,1,2,1,0,Single Room,10/15/2023,160
HWA00213,Julie Thompson,2,5,1,0,Deluxe Room,3/20/2024,900
HWA00214,Timothy Martin,1,3,1,0,Single Room,10/13/2024,240
HWA00215,Samuel Robinson,1,5,1,0,Single Room,8/22/2023,400
HWA00216,Joshua Harris,1,2,0,0,Single Room,6/8/2024,100
HWA00217,Brian Thomas,1,1,1,0,Single Room,3/1/2024,80
HWA00218,Scott Taylor,1,5,1,0,Single Room,9/5/2024,400
HWA00219,Dennis Garcia,1,2,1,0,Single Room,6/10/2024,160
HWA00220,Daniel Jones,1,3,0,0,Single Room,4/14/2024,150
HWA00221,Ronald Thompson,1,2,1,0,Single Room,4/1/2024,160
HWA00222,Karen Taylor,1,2,1,0,Family Room,5/27/2024,460
HWA00223,Helen Perez,2,2,1,0,Family Room,9/19/2023,460
HWA00224,Michelle Johnson,1,2,1,0,Single Room,3/18/2024,160
HWA00225,Nancy Perez,1,2,1,0,Single Room,2/5/2024,160
HWA00226,Paul Allen,2,1,1,0,Deluxe Room,5/7/2024,180
HWA00227,Christopher Hernandez,1,3,1,0,Single Room,5/12/2024,240
HWA00228,Dorothy Martinez,1,2,1,0,Single Room,10/28/2024,160
HWA00229,Shirley Green,1,1,0,0,Single Room,10/18/2023,50
HWA00230,Gregory Smith,1,1,1,1,Single Room,6/21/2024,80
HWA00231,Paul Harris,1,6,0,0,Single Room,8/14/2023,300
HWA00232,Deborah Lewis,2,2,1,0,Family Room,4/29/2024,460
HWA00233,Linda Rodriguez,1,3,1,0,Single Room,12/26/2024,240
HWA00234,Nancy King,1,2,0,0,Single Room,12/2/2024,100
HWA00235,Laura White,1,1,0,0,Single Room,4/24/2024,50
HWA00236,Mary Garcia,1,4,0,0,Single Room,6/16/2024,200
HWA00237,Christopher Lewis,1,2,1,0,Single Room,10/9/2023,160
HWA00238,Lisa Anderson,1,2,1,0,Single Room,9/3/2023,160
HWA00239,Ruth Walker,1,2,0,0,Single Room,9/14/2024,100
HWA00240,Christopher Adams,1,1,1,0,Single Room,2/8/2024,80
HWA00241,Jeffrey Smith,1,2,1,0,Single Room,10/2/2023,160
HWA00242,Thomas Martinez,1,3,1,1,Single Room,3/24/2024,240
HWA00243,Patricia Flores,3,4,1,0,Deluxe Room,5/31/2024,720
HWA00244,Christopher Taylor,1,2,1,0,Single Room,8/15/2024,160
HWA00245,Linda Lewis,1,3,1,0,Single Room,11/9/2023,240
HWA00246,Donald Martin,3,1,1,0,Deluxe Room,8/13/2024,180
HWA00247,Sharon Martin,1,3,1,0,Single Room,10/2/2023,240
HWA00248,Robert Jones,1,4,0,0,Single Room,7/26/2024,200
HWA00249,Jason Walker,1,1,0,0,Single Room,5/21/2024,50
HWA00250,Laura Jackson,3,3,1,0,Deluxe Room,9/7/2024,540
HWA00251,Deborah Harris,1,4,0,0,Single Room,11/15/2023,200
HWA00252,Christopher Flores,1,1,1,0,Single Room,9/16/2023,80
HWA00253,Christopher Miller,1,2,1,0,Single Room,10/16/2023,160
HWA00254,Mary Hernandez,1,3,0,0,Single Room,10/18/2024,150
HWA00255,Elizabeth Smith,2,3,1,0,Deluxe Room,7/23/2024,540
HWA00256,Ruth Torres,3,1,1,0,Deluxe Room,6/11/2024,180
HWA00257,James Smith,1,1,0,0,Single Room,1/16/2024,50
HWA00258,Kevin Scott,1,3,1,0,Deluxe Room,9/14/2023,540
HWA00259,Shirley Hall,1,2,1,0,Single Room,11/6/2024,160
HWA00260,Donald Lewis,1,1,1,0,Single Room,10/15/2024,80
HWA00261,Carol King,1,5,0,0,Single Room,9/2/2023,250
HWA00262,Mary Wilson,1,3,1,0,Single Room,12/29/2024,240
HWA00263,Amanda Flores,1,2,1,0,Single Room,4/15/2024,160
HWA00264,Rebecca Wilson,1,1,1,0,Single Room,3/11/2024,80
HWA00265,Anthony Jones,1,4,1,0,Single Room,8/28/2024,320
HWA00266,Lisa Jones,1,2,1,0,Single Room,3/25/2024,160
HWA00267,Patricia Moore,1,2,1,0,Deluxe Room,12/9/2024,360
HWA00268,Ruth Taylor,1,1,1,0,Single Room,6/12/2024,80
HWA00269,Thomas Lee,1,4,1,0,Deluxe Room,7/6/2024,720
HWA00270,Carol Thompson,1,2,1,0,Single Room,6/15/2024,160
HWA00271,Mary Adams,1,1,1,0,Single Room,3/5/2024,80
HWA00272,Ronald Robinson,1,3,1,0,Single Room,8/18/2023,240
HWA00273,Thomas Taylor,3,5,1,0,Deluxe Room,4/21/2024,900
HWA00274,Edward Jones,3,1,1,0,Deluxe Room,6/18/2024,180
HWA00275,Julie Flores,1,3,0,0,Single Room,5/9/2024,150
HWA00276,Sarah Lewis,1,4,0,0,Single Room,6/28/2024,200
HWA00277,Sandra Young,1,4,0,0,Single Room,3/9/2024,200
HWA00278,Dorothy Thompson,1,4,1,0,Single Room,9/7/2024,320
HWA00279,Susan Harris,1,2,0,1,Single Room,8/10/2024,100
HWA00280,Edward Thompson,1,2,1,0,Family Room,5/13/2024,460
HWA00281,Dennis Robinson,1,2,1,0,Single Room,4/24/2024,160
HWA00282,Patricia Brown,1,2,1,0,Single Room,10/28/2024,160
HWA00283,Nancy King,1,3,1,0,Single Room,3/17/2024,240
HWA00284,Peter Thompson,1,1,1,0,Single Room,8/22/2024,80
HWA00285,Sarah Hall,1,1,1,0,Single Room,8/8/2023,80
HWA00286,Frank White,1,1,1,0,Single Room,5/1/2024,80
HWA00287,Elizabeth Davis,1,1,1,0,Single Room,4/3/2024,80
HWA00288,John Hill,1,3,1,0,Single Room,11/1/2024,240
HWA00289,John Scott,1,1,1,0,Single Room,9/4/2023,80
HWA00290,Laura Jackson,1,2,1,0,Single Room,8/13/2024,160
HWA00291,Joan Wright,1,1,1,0,Single Room,12/27/2023,80
HWA00292,Raymond Thomas,1,6,1,0,Single Room,11/16/2024,480
HWA00293,Sarah Anderson,1,3,1,0,Single Room,10/13/2024,240
HWA00294,Deborah Hall,1,2,1,0,Single Room,6/15/2024,160
HWA00295,Ruth Scott,1,1,1,0,Single Room,1/2/2024,80
HWA00296,Raymond Anderson,1,2,1,0,Deluxe Room,10/28/2024,360
HWA00297,Dorothy Allen,1,1,1,0,Single Room,5/16/2024,80
HWA00298,Aaron King,2,1,1,0,Deluxe Room,2/20/2024,180
HWA00299,Anthony Anderson,1,2,1,0,Single Room,3/23/2024,160
HWA00300,Peter Hill,2,4,1,0,Deluxe Room,12/29/2023,720
HWA00301,Joshua Jackson,1,1,1,0,Single Room,9/30/2023,80
HWA00302,Patricia Miller,1,3,1,0,Single Room,8/1/2024,240
HWA00303,Nancy Hernandez,1,1,1,0,Single Room,7/25/2024,80
HWA00304,Emily Robinson,3,2,1,0,Family Room,9/16/2024,460
HWA00305,Nancy Brown,1,1,1,0,Single Room,12/26/2023,80
HWA00306,James Thompson,1,5,1,0,Single Room,7/9/2024,400
HWA00307,Sharon Flores,1,1,1,0,Single Room,2/28/2024,80
HWA00308,Ruth Thomas,3,1,1,0,Deluxe Room,4/17/2024,180
HWA00309,Ryan Lee,1,2,1,0,Single Room,6/24/2024,160
HWA00310,Aaron Torres,1,1,1,0,Single Room,6/6/2024,80
HWA00311,Julie Lopez,1,3,1,0,Deluxe Room,7/17/2024,540
HWA00312,Shirley Lee,1,2,1,0,Single Room,8/18/2024,160
HWA00313,Thomas Hall,1,2,1,0,Deluxe Room,2/22/2024,360
HWA00314,Ryan Scott,1,1,1,0,Single Room,5/22/2024,80
HWA00315,Elizabeth Torres,1,2,1,0,Single Room,6/17/2024,160
HWA00316,Paul Rodriguez,1,2,1,0,Single Room,7/8/2024,160
HWA00317,Donald Harris,1,1,1,0,Single Room,10/18/2023,80
HWA00318,Karen Jones,1,2,0,0,Single Room,11/11/2024,100
HWA00319,Daniel Scott,3,1,1,0,Deluxe Room,8/28/2024,180
HWA00320,Sharon Perez,1,2,1,0,Single Room,6/15/2024,160
HWA00321,Paul Harris,1,3,1,0,Single Room,10/6/2023,240
HWA00322,Daniel Miller,1,2,1,0,Deluxe Room,5/27/2024,360
HWA00323,Kimberly Jones,1,1,1,0,Single Room,8/11/2023,80
HWA00324,Jeffrey Williams,1,2,1,0,Single Room,7/17/2023,160
HWA00325,Steven Smith,1,1,1,0,Single Room,7/25/2023,80
HWA00326,Daniel Thompson,1,1,1,0,Single Room,12/15/2023,80
HWA00327,Samuel Lee,1,2,1,0,Deluxe Room,10/23/2023,360
HWA00328,Ashley Smith,1,1,1,0,Single Room,10/10/2023,80
HWA00329,Sarah Lopez,1,2,1,0,Single Room,10/2/2024,160
HWA00330,Judith Robinson,1,1,0,0,Single Room,7/23/2024,50
HWA00331,Kenneth Martinez,1,3,1,0,Deluxe Room,8/18/2024,540
HWA00332,Cynthia King,3,2,1,0,Deluxe Room,6/26/2024,360
HWA00333,Samuel Lopez,1,1,1,0,Single Room,9/8/2023,80
HWA00334,Deborah Jackson,1,5,1,0,Single Room,12/21/2024,400
HWA00335,Betty Perez,1,2,1,0,Single Room,6/6/2024,160
HWA00336,Jeffrey Martinez,1,3,1,0,Single Room,11/10/2024,240
HWA00337,Patricia Moore,1,1,1,0,Deluxe Room,7/25/2024,180
HWA00338,Thomas Wright,1,1,0,0,Single Room,9/7/2024,50
HWA00339,John Thompson,1,2,1,0,Single Room,8/14/2023,160
HWA00340,Jason Harris,1,1,1,0,Single Room,2/24/2024,80
HWA00341,Nancy Garcia,1,1,1,0,Deluxe Room,8/15/2024,180
HWA00342,Charles Wright,1,4,1,0,Single Room,3/29/2024,320
HWA00343,Scott Jones,3,1,1,1,Deluxe Room,7/1/2024,180
HWA00344,Jennifer Robinson,1,6,1,0,Single Room,7/5/2024,480
HWA00345,Laura Martin,1,1,1,0,Single Room,7/11/2024,80
HWA00346,Jessica Walker,2,2,1,0,Deluxe Room,5/14/2024,360
HWA00347,Elizabeth Thompson,5,1,1,0,Family Room,10/22/2024,230
HWA00348,Mark Rodriguez,1,1,1,0,Single Room,2/28/2024,80
HWA00349,Jason Brown,1,3,1,0,Single Room,6/13/2024,240
HWA00350,James Hall,1,2,1,0,Single Room,8/10/2023,160
HWA00351,Sandra Jackson,1,1,1,0,Single Room,9/18/2024,80
HWA00352,Anthony Taylor,3,2,1,0,Deluxe Room,9/3/2024,360
HWA00353,Michelle Robinson,1,2,1,0,Single Room,10/16/2023,160
HWA00354,Linda Adams,1,1,1,0,Single Room,9/22/2024,80
HWA00355,Paul Young,2,2,1,0,Deluxe Room,11/16/2024,360
HWA00356,James Wright,1,1,1,0,Deluxe Room,11/19/2023,180
HWA00357,Judith Garcia,1,4,1,0,Single Room,2/22/2024,320
HWA00358,Samuel Martin,1,3,1,0,Single Room,6/26/2024,240
HWA00359,Gregory Adams,1,1,1,0,Single Room,4/9/2024,80
HWA00360,Elizabeth White,1,3,1,0,Single Room,8/13/2024,240
HWA00361,Stephanie Hall,1,1,1,0,Single Room,10/23/2024,80
HWA00362,Mark Miller,1,5,1,0,Family Room,12/29/2023,1150
HWA00363,Jerry Jackson,3,2,1,0,Deluxe Room,7/10/2024,360
HWA00364,Emma Moore,1,3,1,0,Presidential Room,10/20/2024,840
HWA00365,David Lopez,1,2,1,0,Single Room,9/25/2023,160
HWA00366,Robert Adams,1,6,1,0,Single Room,12/10/2024,480
HWA00367,Kevin Robinson,1,3,1,0,Single Room,10/4/2024,240
HWA00368,Matthew Hernandez,3,2,1,0,Deluxe Room,10/27/2024,360
HWA00369,Jeffrey Martinez,1,1,1,0,Single Room,3/23/2024,80
HWA00370,Mary White,1,3,0,0,Single Room,3/3/2024,150
HWA00371,Ashley Williams,1,1,1,0,Single Room,5/21/2024,80
HWA00372,Margaret Torres,1,11,1,0,Deluxe Room,9/13/2024,1980
HWA00373,Robert Martinez,1,4,1,0,Single Room,9/7/2024,320
HWA00374,Timothy White,4,2,1,0,Family Room,12/2/2024,460
HWA00375,David Scott,1,1,0,0,Single Room,9/18/2024,50
HWA00376,Paul Brown,1,1,1,0,Single Room,6/19/2024,80
HWA00377,Daniel Lewis,1,2,1,0,Single Room,10/16/2023,160
HWA00378,Scott Davis,3,1,1,0,Deluxe Room,3/20/2024,180
HWA00379,Samuel King,1,3,1,0,Deluxe Room,12/26/2024,540
HWA00380,Joshua Martinez,2,1,1,0,Family Room,5/14/2024,230
